population,Data Zone
772,S01001419
"1,511",S01001420
"1,118",S01001421
640,S01001422
834,S01001423
"1,084",S01001424
"1,644",S01001425
780,S01001426
877,S01001427
821,S01001428
667,S01001429
897,S01001430
916,S01001431
758,S01001432
783,S01001433
913,S01001434
954,S01001435
"1,051",S01001436
889,S01001437
618,S01001438
701,S01001439
896,S01001440
775,S01001441
661,S01001442
949,S01001443
878,S01001444
675,S01001445
882,S01001446
"1,334",S01001447
703,S01001448
599,S01001449
809,S01001450
709,S01001451
853,S01001452
826,S01001453
929,S01001454
754,S01001455
669,S01001456
877,S01001457
880,S01001458
907,S01001459
639,S01001460
825,S01001461
814,S01001462
654,S01001463
870,S01001464
726,S01001465
716,S01001466
778,S01001467
623,S01001468
787,S01001469
909,S01001470
697,S01001471
782,S01001472
782,S01001473
"1,662",S01001474
649,S01001475
964,S01001476
915,S01001477
662,S01001478
640,S01001479
606,S01001480
869,S01001481
711,S01001482
"1,167",S01001483
841,S01001484
"1,138",S01001485
774,S01001486
665,S01001487
848,S01001488
867,S01001489
939,S01001490
866,S01001491
916,S01001492
743,S01001493
943,S01001494
611,S01001495
939,S01001496
756,S01001497
676,S01001498
"1,033",S01001499
720,S01001500
864,S01001501
807,S01001502
770,S01001503
826,S01001504
"1,071",S01001505
578,S01001506
886,S01001507
930,S01001508
816,S01001509
613,S01001510
562,S01001511
943,S01001512
843,S01001513
729,S01001514
692,S01001515
688,S01001516
842,S01001517
949,S01001518
996,S01001519
666,S01001520
963,S01001521
"1,020",S01001522
791,S01001523
894,S01001524
789,S01001525
611,S01001526
881,S01001527
920,S01001528
693,S01001529
802,S01001530
"1,218",S01001531
612,S01001532
"1,016",S01001533
645,S01001534
884,S01001535
724,S01001536
539,S01001537
844,S01001538
902,S01001539
739,S01001540
809,S01001541
691,S01001542
723,S01001543
927,S01001544
683,S01001545
977,S01001546
965,S01001547
965,S01001548
"1,088",S01001549
786,S01001550
909,S01001551
840,S01001552
867,S01001553
983,S01001554
776,S01001555
830,S01001556
992,S01001557
901,S01001558
466,S01001559
"1,535",S01001560
"1,413",S01001561
"2,893",S01001562
606,S01001563
552,S01001564
728,S01001565
684,S01001566
892,S01001567
798,S01001568
828,S01001569
525,S01001570
715,S01001571
492,S01001572
676,S01001573
873,S01001574
714,S01001575
570,S01001576
704,S01001577
701,S01001578
885,S01001579
589,S01001580
632,S01001581
740,S01001582
512,S01001583
752,S01001584
846,S01001585
476,S01001586
747,S01001587
775,S01001588
816,S01001589
662,S01001590
664,S01001591
742,S01001592
768,S01001593
829,S01001594
679,S01001595
844,S01001596
879,S01001597
668,S01001598
"1,018",S01001599
"1,057",S01001600
"1,215",S01001601
810,S01001602
"1,056",S01001603
629,S01001604
"1,033",S01001605
632,S01001606
"3,041",S01001607
818,S01001608
860,S01001609
777,S01001610
"1,056",S01001611
817,S01001612
739,S01001613
694,S01001614
762,S01001615
752,S01001616
635,S01001617
"1,000",S01001618
682,S01001619
861,S01001620
665,S01001621
848,S01001622
781,S01001623
956,S01001624
752,S01001625
745,S01001626
"1,411",S01001627
603,S01001628
628,S01001629
